Brand;Merk;Dimension;Weight;build;Type;Size;Resolution;OS;Chipset;CPU;RAM;ROM;Camera;Type2;Video;Camera3;Video5;USB;Capacity;Price
SAMSUNG;Galaxy M54 5G;164.9 x 77.3 x 8.4 ;199;PLASTIC BACK, PLASTIC FRAME;Super AMOLED;108.4;1080 x 2400;Android 13;Exynos 1380;OCTA-CORE;8;256;108;TRIPLE;4k 30fps, 1080p 30/60fps;32;4k 30fps, 1080p 30fps;USB Type-C 2.0;6000;6499000
XIAOMI;Xiaomi 14;152.8 x 71.5 x 8.2;188;GLASS BACK, ALUMUNIUM FRAME;LTPO OLED;97.6;1200 x 2670 ;Android 14;Snapdragon 8 Gen 3;OCTA-CORE;12;256;50;TRIPLE;8k 24fps, 4k 24/30/60fps, 1080p 30/60/120/240/960fps, 720p 1920fps;32;4k 30/60fps, 1080p 30/60fps;USB Type-C 3.2;4610;11999000
XIAOMI;Xiaomi 13T;162.2 x 75.7 x 8.5;193 ;GLASS BACK, PLASTIC FRAME;AMOLED;107.4;1220 x 2712;Android 13;Mediatek Dimensity 8200 Ultra;OCTA-CORE;12;256;50;TRIPLE;4k 30fps, 1080p 30/60/120fps;20;1080p 30fps;USB Type-C 2.0;5000;6499000
REDMI;Redmi A3;168.3 x 76.3 x 8.3;193;GLASS BACK, PLASTIC FRAME;IPS;106.5;720 x 1650;Android 14;Mediatek Helio G36;OCTA-CORE;4;128;8;SINGGLE;1080p 30fps;5;1080p 30fps;USB Type-C 2.0;5000;1199000
REDMI;Redmi 13 C;168 x 78 x 8.1;192;PLASTIC BACK, PLASTIC FRAME;IPS;109.7;720 x 1600;Android 13;Helio G85;OCTA-CORE;6;128;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;1499000
REDMI;Redmi 13 C;168 x 78 x 8.1;192;PLASTIC BACK, PLASTIC FRAME;IPS;109.7;720 x 1600;Android 13;Helio G85;OCTA-CORE;8;256;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;1799000
REDMI;Redmi 12;168.6 x 76.3 x 8.2 ;198.5;PLASTIC FRAME, GLASS BACK;IPS;109.5;1080 x 2460;Android 13;Helio G88;OCTA-CORE;8;128;50;TRIPLE;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;1799000
REDMI;Redmi 12;168.6 x 76.3 x 8.2 ;198.5;PLASTIC FRAME, GLASS BACK;IPS;109.5;1080 x 2460;Android 13;Helio G88;OCTA-CORE;8;256;50;TRIPLE;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;1999000
REDMI;Redmi Note 13 Pro 5G;161.2 x 74.2 x 8;187;PLASTIC FRAME, GLASS BACK;AMOLED;107.4;1220 x 2712;Android 13;Snapdragon 7s Gen 2;OCTA-CORE;8;256;200;TRIPLE;4k 30fps, 1080p 30/60/120fps;16;1080p 30/60fps;USB Type-C 2.0;5100;4399000
ASUS;ROG Phone 8 Pro;163.8 x 76.8 x 8.9 ;225;ALUMUNIUM FRAME, GLASS BACK;LTPO AMOLED;111.0;1080 x 2400;Android 14;Snapdragon 8 Gen 3;OCTA-CORE;16;512;50;TRIPLE;8k 24fps, 4k 30/60fps, 1080p 30/60/120/240fps;32;1080p 30fps;USB Type-C 3.2 Gen 2;5500;14999000
ASUS;ROG Phone 8;163.8 x 76.8 x 8.9;225;ALUMUNIUM FRAME, GLASS BACK;LTPO AMOLED;111.0;1080 x 2400;Android 14;Snapdragon 8 Gen 3;OCTA-CORE;12;256;50;TRIPLE;8k 24fps, 4k 30/60fps, 1080p 30/60/120/240fps;32;1080p 30fps;USB Type-C 3.2 Gen 2;5500;10999000
REALME;Realme 10 Pro 5G;163.7 x 74.2 x 8.1;190;PLASTIC FRAME, PLASTIC BACK;IPS;109.0;1080 x 2400;Android 13;Snapdragon 695 5G;OCTA-CORE;8;128;108;DUAL;1080p 30fps;16;1080p 30fps;USB Type-C 2.0;5000;4299000
REALME;Realme 10 Pro+ 5G;161.5 x 73.9 x 7.8;173;PLASTIC FRAME, PLASTIC BACK;IPS;108.0;1080X2412;Android 13;Mediatek Dimensity 1080;OCTA-CORE;8;256;108;TRIPLE;4k 30fps, 1080p 30/60/120/480fps, 720p 960fps;16;1080p 30fps;USB Type-C 2.0;5000;5999000
REALME;Realme 10 Pro+ 5G;161.5 x 73.9 x 7.8;173;PLASTIC FRAME, PLASTIC BACK;AMOLED;108.0;1080X2412;Android 13;Mediatek Dimensity 1080;OCTA-CORE;12;512;108;TRIPLE;4k 30fps, 1080p 30/60/120/480fps, 720p 960fps;16;1080p 30fps;USB Type-C 2.0;5000;6999000
REALME;Realme C55 NFC;165.5 x 75.9 x 7.9;189.5;PLASTIC FRAME, PLASTIC BACK;IPS;109.0;1080 x 2400;Android 13;Mediatek MT6769H Helio G88;OCTA-CORE;6;128;64;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;2299000
REALME;Realme C53 NFC;167.3 x 76,7 x 7.5;182;PLASTIC FRAME, PLASTIC BACK;IPS;108.7;1080 x 2400;Android 13;Unisoc Tiger T612;OCTA-CORE;6;128;50;DUAL;1080p 30fps;8;720p 30fps;USB Type-C 2.0;5000;1999000
REALME;Realme C53 NFC;167.3 x 76,7 x 7.5;182;PLASTIC FRAME, PLASTIC BACK;IPS;108.7;1080 x 2400;Android 13;Unisoc Tiger T612;OCTA-CORE;8;256;50;DUAL;1080p 30fps;8;720p 30fps;USB Type-C 2.0;5000;2299000
REALME;Realme 11 Pro 5G;161.7 x 73.9 x 8.2;183;PLASTIC BACK, PLASTIC FRAME;AMOLED;108.0;1080 x 2412;Android 13;Mediatek Dimensity 7050;OCTA-CORE;8;256;100;DUAL;4k 30fps, 1080p 30/60/120/480fps, 720p 960fps;16;1080p 30fps;USB Type-C 2.0;5000;4599000
REALME;Realme 11 Pro+ 5G;161.1 x 73.9 x 8.2;183;PLASTIC BACK, PLASTIC FRAME;AMOLED;108.0;1080 x 2412;Android 13;Mediatek Dimensity 7050;OCTA-CORE;12;512;200;TRIPLE;4k 30fps, 1080p 30/60/120/480fps, 720p 960fps;32;1080p 30fps;USB Type-C 2.0;5000;6599000
REALME;Realme C51 NFC;167.2 x 76.7 x 8;186;PLASTIC FRAME, PLASTIC BACK;IPS;109.7;720 x 1600;Android 13;Unisoc Tiger T612;OCTA-CORE;4;128;50;SINGGLE;1080p 30fps;5;720p 30fps;USB Type-C 2.0;5000;1699000
REALME;Realme 11 NFC;159 .9 x 73.3 x 8;178;PLASTIC FRAME, PLASTIC BACK;SUPER AMOLED;98.9;1080 x 2400;Android 12;Mediatek Helio G99;OCTA-CORE;8;256;108;DUAL;1080p 30fps;16;1080p 30fps;USB Type-C 2.0;5000;3299000
REALME;Realme C67;165.7 x 76 x 7.9;190;PLASTIC FRAME, PLASTIC BACK;IPS;109.0;1080 x 2400;Android 13;Mediatek Dimensity 6100+;OCTA-CORE;8;128;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;2399000
REALME;Realme C67;165.7 x 76 x 7.9;190;PLASTIC FRAME, PLASTIC BACK;IPS;109.0;1080 x 2400;Android 13;Mediatek Dimensity 6100+;OCTA-CORE;8;256;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;2799000
REALME;Realme 12 Pro + 5G;161.5 x 74 x 8.8;196;SILICONE POLYMER BACK, PLASTIC BACK;AMOLED;108.0;1080 x 2412;Android 14;Snapdragon 7s Gen 2;OCTA-CORE;8;256;50;TRIPLE;4k 30fps, 1080p 30/60/120fps;32;1080p 30fps;USB Type-C 2.0;5000;5999000
REALME;Realme 12 Pro + 5G;161.5 x 74 x 8.8;196;SILICONE POLYMER BACK, PLASTIC BACK;AMOLED;108.0;1080 x 2412;Android 14;Snapdragon 7s Gen 2;OCTA-CORE;12;512;50;TRIPLE;4k 30fps, 1080p 30/60/120fps;32;1080p 30fps;USB Type-C 2.0;5000;6999000
REALME;Realme Note 5G;167.2 x  76.7 x 8;186;PLASTIC FRAME, PLASTIC BACK;IPS;109.7;720 x 1600;Android 13;Unisoc Tiger T612;OCTA-CORE;4;128;13;SINGGLE;1080p 30fps;5;720p 30fps;USB Type-C 2.0;5000;1549000
REALME;Realme 12+ 5G;163 x 75.5 x 7.9;190;PLASTIC FRAME, SILICONE POLYMER BACK;AMOLED;107.4;1080 x 2400;Android 14;Mediatek Dimensity 7050;OCTA-CORE;8;256;50;TRIPLE;4k 30fps, 1080p 30/60fps;16;1080p 30fps;USB Type-C 2.0;5000;4199000
REALME;Realme 12+ 5G;163 x 75.5 x 7.9;190;PLASTIC FRAME, SILICONE POLYMER BACK;AMOLED;107.4;1080 x 2400;Android 14;Mediatek Dimensity 7050;OCTA-CORE;12;512;50;TRIPLE;4k 30fps, 1080p 30/60fps;16;1080p 30fps;USB Type-C 2.0;5000;4999000
OPPO;Find N3 Flip;166.4 x 75.8 x 7.8;198;GLASS BACK, ALUMUNIUM FRAME;AMOLED;108.0;1080 x 2520;Android 13;Mediatek Dimensity 9200;OCTA-CORE;12;256;50;TRIPLE;4k 30fps, 1080p 30/60/240fps;32;4k 30fps, 1080p 30fps;USB Type-C 2.0;4300;14499000
OPPO;Find N3;153.4 x 143.1 x 5.8;245;GLASS BACK, ALUMUNIUM FRAME;LTPO3 OLED;196.7;2268 x 2440;Android 13;Snapdragon 8 Gen 2;OCTA-CORE;16;512;48;TRIPLE;4k 30/60fps, 1080p 30/60/240fps;20;4k 30fps, 1080p 30fps;USB Type-C 2.0;4805;26999000
OPPO;Reno 11 Pro;162.4 x 74.1 x 7.6;181;GLASS BACK, PLASTIC FRAME;AMOLED;108.0;1080 x 2412;Android 14;Mediatek Dimensity 8200;OCTA-CORE;12;512;50;TRIPLE;4k 30/60fps, 1080p 30/60/120/480fps;32;4k 30fps, 1080p 30fps;USB Type-C 2.0;4600;8999000
OPPO;Reno 11;162.4 x 74.3 x 7.9;182;GLASS BACK, PLASTIC FRAME;AMOLED;108.0;1080 x 2412;Android 14;Mediatek Dimensity 7050;OCTA-CORE;8;256;50;TRIPLE;4k 30/60fps, 1080p 30/60/120/480fps;32;4k 30fps, 1080p 30fps;USB Type-C 2.0;5000;5599000
OPPO;Reno 11 F;161.1 x 74.7 x 7.5;177;GLASS BACK, PLASTIC FRAME;AMOLED;108.0;1080 x 2412;Android 14;Mediatek Dimensity 7050;OCTA-CORE;8;256;64;TRIPLE;4k 30fps, 1080p 30/60/120/480fps;32;4k 30fps, 1080p 30fps;USB Type-C 2.0;5000;4399000
OPPO;Reno 10;162.4 x 74.2 x 8;185;GLASS BACK, PLASTIC FRAME;AMOLED;108.0;1080 x 2412;Android 13;Mediatek Dimensity 7050;OCTA-CORE;8;256;64;TRIPLE;4k 30fps, 1080p 30/60/120/480fps;32;1080p 30fps;USB Type-C 2.0;5000;5399000
OPPO;OPPO A98;165.6 x 76.1 x 8.2;192;GLASS BACK, PLASTIC FRAME;IPS;109.0;1080 x 2400;Android 13;Snapdragon 695 5G;OCTA-CORE;8;256;64;DUAL;1080p 30fps;32;1080p 30fps;USB Type-C 2.0;5000;3689000
OPPO;OPPO A79;165.6 x 76 x 8;192;GLASS BACK, PLASTIC FRAME;IPS;109.0;1080 x 2400;Android 13;Mediatek Dimensity 6020;OCTA-CORE;8;256;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;3599000
VIVO;Vivo X100 Pro;164.1 x 75.3 x 8.9;225;ALUMUNIUM FRAME, GLASS BACK;LTPO AMOLED;111.5;1260 x 2800;Android 14;Mediatek Dimensity 9300;OCTA-CORE;16;512;62;TRIPLE;8k 30fps, 4k 30/60fps;32;4k 30/60fps, 1080p 30/60fps;USB Type-C 3.2;5400;16999000
VIVO;Vivo Y28;163.7 x 75.4 x 8.1;186 ;PLASTIC BACK,  PLASTIC FRAME;IPS;103.4;720 x 1612;Android 13;Mediatek Dimensity 6020;OCTA-CORE;8;128;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;2599000
VIVO;Vivo Y28;163.7 x 75.4 x 8.1;186 ;PLASTIC BACK,  PLASTIC FRAME;IPS;103.4;720 x 1612;Android 13;Mediatek Dimensity 6020;OCTA-CORE;8;256;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;2999000
VIVO;Vivo Y27s;164.1 x 76.2 x 8.2;192;PLASTIC FRAME, PLASTIC BACK;IPS;106.8;1080 x 2388;Android 13;Snapdragon 680 4G;OCTA-CORE;8;256;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;2699000
VIVO;Vivo Y100 5G;163.2 x 75.8 x 7.8;191;PLASTIC FRAME, SILICONE POLYMER BACK;AMOLED;107.4;1080 x 2400;Android 14;Snapdragon 4 Gen 2;OCTA-CORE;8;128;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;3599999
VIVO;Vivo Y100 5G;163.2 x 75.8 x 7.8;191;PLASTIC FRAME, SILICONE POLYMER BACK;AMOLED;107.4;1080 x 2400;Android 14;Snapdragon 4 Gen 2;OCTA-CORE;8;256;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;3899999
VIVO;Vivo Y100;163.2 x 75.8 x 7.8;196;PLASTIC FRAME, SILICONE POLYMER BACK;AMOLED;107.4;1080 x 2400;Android 14;Snapdragon 685;OCTA-CORE;8;128;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;3099000
VIVO;Vivo Y100;163.2 x 75.8 x 7.8;196;PLASTIC FRAME, SILICONE POLYMER BACK;AMOLED;107.4;1080 x 2400;Android 14;Snapdragon 685;OCTA-CORE;8;256;50;DUAL;1080p 30fps;8;1080p 30fps;USB Type-C 2.0;5000;3399000
